platform,region,vehicle,raw_text,sentiment,feature,feature_sentiment,competitor,pain_point,opportunity,priority,rating
Twitter,Bangalore,Safari,Not stylish compared to rivals,Negative,Design,Negative,Hyundai Creta,Service Delay,Service Expansion,CRITICAL,1.2
Twitter,Lucknow,Harrier,Adequate safety features,Neutral,Safety,Neutral,Kia Seltos,Low Mileage,Technology Upgrade,MEDIUM,3.4
CarDekho,Bangalore,Harrier,Decent for its segment,Neutral,Pricing,Neutral,Hyundai Alcazar,Infotainment Lag,Service Expansion,MEDIUM,1.6
ZigWheels,Mumbai,Safari,Adequate space for daily use,Neutral,Comfort & Space,Neutral,Mahindra XUV700,Service Delay,Pricing Adjustment,MEDIUM,3.3
ZigWheels,Bangalore,Safari,Modern design with stylish aesthetics,Positive,Design,Positive,Mahindra XUV700,Low Mileage,Technology Upgrade,CRITICAL,2.7
ZigWheels,Bangalore,Harrier,Good after-sales experience,Positive,Service,Positive,Hyundai Alcazar,Service Delay,Pricing Adjustment,CRITICAL,2.4
Twitter,Delhi,Harrier,Great road presence,Positive,Design,Positive,Hyundai Alcazar,Service Delay,Feature Addition,HIGH,4.2
Twitter,Delhi,Safari,Looks are average,Neutral,Design,Neutral,Hyundai Alcazar,Infotainment Lag,Technology Upgrade,LOW,2.3
Twitter,Bangalore,Harrier,Adequate space for daily use,Neutral,Comfort & Space,Neutral,Hyundai Alcazar,Low Mileage,Technology Upgrade,CRITICAL,1.1
Twitter,Chennai,Safari,Ample legroom and headroom,Positive,Comfort & Space,Positive,Kia Seltos,High Price,Service Expansion,LOW,3.6
CarDekho,Delhi,Safari,Infotainment system lags,Negative,Technology & Infotainment,Negative,Hyundai Creta,High Price,Comfort Upgrade,LOW,1.1
CarDekho,Delhi,Harrier,Loaded with safety features,Positive,Safety,Positive,Hyundai Alcazar,Infotainment Lag,Comfort Upgrade,HIGH,3.6
CarDekho,Chennai,Safari,Ample legroom and headroom,Positive,Comfort & Space,Positive,Hyundai Creta,Service Delay,Feature Addition,LOW,2.3
CarDekho,Lucknow,Harrier,Engine is adequate,Neutral,Performance,Neutral,Mahindra XUV700,Spare Part Availability,Feature Addition,MEDIUM,1.1
ZigWheels,Pune,Harrier,Ample legroom and headroom,Positive,Comfort & Space,Positive,Kia Seltos,High Price,Technology Upgrade,CRITICAL,2.4
Twitter,Kolkata,Harrier,Airbags missing in base variant,Negative,Safety,Negative,Hyundai Alcazar,Low Mileage,Pricing Adjustment,CRITICAL,2
Twitter,Kolkata,Harrier,Loaded with safety features,Positive,Safety,Positive,Mahindra XUV700,High Price,Technology Upgrade,CRITICAL,2.1
CarDekho,Mumbai,Safari,Affordable compared to rivals,Positive,Pricing,Positive,Kia Seltos,Spare Part Availability,Technology Upgrade,MEDIUM,3.7
Twitter,Hyderabad,Harrier,Design feels outdated,Negative,Design,Negative,MG Hector,Infotainment Lag,Comfort Upgrade,MEDIUM,2.7
Twitter,Kolkata,Harrier,Great value for money,Positive,Pricing,Positive,MG Hector,Service Delay,Technology Upgrade,CRITICAL,3.8
Twitter,Pune,Harrier,After sales service is disappointing,Negative,Service,Negative,Hyundai Creta,Low Mileage,Technology Upgrade,MEDIUM,3
Twitter,Mumbai,Harrier,Infotainment system lags,Negative,Technology & Infotainment,Negative,Kia Seltos,Low Mileage,Comfort Upgrade,CRITICAL,2.5
Twitter,Mumbai,Harrier,Build quality feels rock solid,Positive,Build Quality,Positive,Hyundai Creta,Spare Part Availability,Technology Upgrade,LOW,4.9
CarDekho,Mumbai,Safari,Pricing is acceptable,Neutral,Pricing,Neutral,Hyundai Alcazar,High Price,Pricing Adjustment,MEDIUM,2.8
CarDekho,Kolkata,Harrier,Expensive maintenance,Negative,Pricing,Negative,Hyundai Alcazar,Service Delay,Comfort Upgrade,MEDIUM,3.5
CarDekho,Lucknow,Safari,Build quality is fine,Neutral,Build Quality,Neutral,Mahindra XUV700,High Price,Technology Upgrade,CRITICAL,1
ZigWheels,Kolkata,Safari,Performance is acceptable,Neutral,Performance,Neutral,Hyundai Alcazar,High Price,Pricing Adjustment,CRITICAL,2.9
CarDekho,Pune,Safari,Powerful engine performance,Positive,Performance,Positive,Mahindra XUV700,Spare Part Availability,Service Expansion,HIGH,2.5
ZigWheels,Chennai,Harrier,Adequate space for daily use,Neutral,Comfort & Space,Neutral,Hyundai Alcazar,Low Mileage,Pricing Adjustment,CRITICAL,1.2
Twitter,Hyderabad,Harrier,Great value for money,Positive,Pricing,Positive,Hyundai Alcazar,Low Mileage,Pricing Adjustment,LOW,3.3
ZigWheels,Hyderabad,Safari,Stable and secure ride,Positive,Safety,Positive,Hyundai Alcazar,Low Mileage,Feature Addition,LOW,4.4
